"1-location","2-years-professional","3-organization-type","4-organization-industry","5-organization-size","6-organization-position","7-seniority","8-design-categories","9-years-at-organization-composite","9.1-years-at-organization","9.2-years-at-organization-feedback","10-how-hired","11-have-portfolio","12-job-stability-concern","13-have-career-path","14-does-your-organization-provide-opportunities-devel","15-organization-work-impact","16-organization-value","17-job-searching","18-salary-composite","18.1-salary-annual","18.2-salary-hourly","19-total-compensation","20-extra-sources-income","21-benefits","22-compensation-satisfaction","23-team-member-count","24-num-report-you","25-hire-freelancers","26-skills-to-develop","27-daily-responsibilities","28-percent-enjoyable","29-life-work-balance","30-weekly-hours-composite","30.1-weekly-hours","30.2-weekly-hours-feedback","31-level-independence","32-rushed-often","33-software-usage","34-workspace-type","35-music-choice","36-highest-level-education","37-how-received-education","38-learning-preference","39-commute-composite","39.1-commute-time","39.2-commute-feedback","40-age","41-gender","42-ethnicity","43-languages-spoken","44-languages-at-work","45-sexual-orientation","46-have-children","47-have-pets","48-num-coffee-daily","49-design-communities","50-design-conferences","51-social-media","52-best-thing-you-year","53-best-thing-else-year","54-design-joke","55-future-three-words"
"New York;NY;US","0","Studio (employee at small organization, 3–10)","Technology","24","Other","Senior","0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","","9","0","Job listing","0;0;0;0;0;1","0","5","6","10","8","0","","249","265","","0;0;0;0;0;1","1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0","6","2","0","0","0;0;0;1;0;0","0;1;0;1;1;1;0;1;1;1;0;0","11","10","","40","0","8","Often","1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0","Office","","Bachelor’s degree","None","Online classes (Skillshare, Lynda.com, MOOCs, etc)","","30","0","40","Female","0;0;1;0;0;0;0;0;0","1","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","1","1;0;0;0;0;0;0","1 – 2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;1;0;0;0;0;0;0","","","",""
"New York;NY;US","4","Agency (employee at large organization, 11+)","Non-profit","30","Strategist, content","Mid-level","0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0","","2","0","Past coworker","0;0;1;0;0;0","2","5","9","9","5","1","","69","0","","0;0;0;0;0;1","1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0","5","2","0","1","1;1;1;1;0;0","0;1;1;1;1;1;0;1;1;1;1;0","10","5","","45","0","5","Often","1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0","Office","A Tribe Called Quest's new album...which, incidentally, is a revelation","Bachelor’s degree","Self-taught","Online classes (Skillshare, Lynda.com, MOOCs, etc)","","30","1","27","Female","0;0;1;0;0;0;0;0;0","3","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","0","0;0;0;0;1;0;0","1 – 2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;1;1;1;1;0;0;0","twice-baked potatoes with wild mushroom ragout (+ goat cheese);;","","","change;responsibility;impact"
"New York;NY;US","0","In-house (at NGO, non-profit, or government)","Non-profit","22","Social Media Manager","Mid-level","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1","","1","1","Job listing","0;0;1;0;0;0","5","0","0","3","3","0","","80","0","","1;0;0;0;0;0","1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0","5","2","0","1","0;1;1;0;1;0","1;0;1;0;0;1;0;0;0;0;0;0","10","2","","43","1","0","Always","1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0","Office","classical music","Master’s degree","Other;don't have design education","Workshops","","35","1","43","Female","0;0;1;0;0;0;0;0;0","2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","0","0;0;0;0;0;0;1","1 – 2","0;0;0;0;0;0;0;0;0;0;0;0;0;;0","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","1;0;1;1;1;1;1;LinkedIn;0","","","",""
"New York;NY;US","0","In-house (at NGO, non-profit, or government)","Non-profit","30","Other","Mid-level","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1","","0","0","Job listing","0;0;0;0;0;1","10","8","10","8","10","0","","60","0","","0;0;0;0;0;1","1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0","8","1","0","1","1;1;1;0;0;0","0;1;1;1;1;1;1;1;1;1;1;0","60","7","","40","0","8","Sometimes","1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0","Office","The Olms-Someone Else's Girl","Bachelor’s degree","None","Community sharing (TED, Twitter, Instagram, etc)","","40","0","27","Male","0;0;1;0;0;0;0;0;0","1","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","0","0;0;0;0;0;0;1","0","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;1;1;1;1;0;0;0","Social impact;;","Social impact;http://austin.aiga.org/event-internal/giving-voice-exhibition-silent-auction/;","How many creatives does it take to screw in a light bulb? An endless amount to design the process and one to actually turn the damn bulb.","Social Impact;Using your ability to create to solve problems;Aplying design ethics to everyday problems"
"Philadelphia;PA;US","15","Collective (collaborative group of independents)","Brand Strategy","2","Executive Creative Director","Leadership","1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0","","5","0","Self-employed","1;1;1;0;0;0","1","2","5","10","10","0","","90","85","","1;1;0;0;0;0","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1","3","4","0","1","1;1;1;0;0;0","1;1;1;1;1;1;1;1;1;1;1;0","20","0","","50","1","3","Often","1;0;0;1;1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0","Studio","Journey, ""Don't Stop Believing""","Bachelor’s degree","Attended university","On the job","","40","1","40","Male","0;0;1;0;0;0;0;0;0","2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","0","0;0;0;0;0;0;1","0","1;0;0;0;0;0;0;0;0;1;0;1;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;1;0;1;0;0;0;0","Identity system for fitness chain;www.phillygainz.com;","","A user interface is like a joke, if you have to explain it, it's not that good. ","connecting;the;dots"
"New York;NY;US","0","In-house (at NGO, non-profit, or government)","Non-profit","25","Other","Senior","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1","","12","0","Job listing","0;0;0;0;0;1","6","1","5","8","7","0","","82","0","","0;0;0;0;0;1","1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0","4","0","0","0","1;1;1;0;0;0","0;1;1;0;1;1;0;1;1;0;0;0","52","7","","48","1","5","Often","1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0","Other;cubicle","Nothing.","Master’s degree","Mentored","On the job","","75","2","41","Female","0;0;1;0;0;0;0;0;0","2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","0","0;0;0;0;0;0;1","1 – 2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;1;0;1;0;0;0;0","","","",""
"New York;NY;US","64","In-house (at NGO, non-profit, or government)","Design, digital","34","Director of Production","Mid-level","0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;fun;0","","0","1","Job listing","1;1;1;1;0;0","8","3","10","4","5","0","","82","79","","1;0;1;1;0;1","1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","5","51","576","1","1;1;1;1;1;negotiation","1;1;1;1;1;1;1;0;0;0;0;0","31","7","","51","1","4","Always","0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0","Co-working space","","Bachelor’s degree","Self-taught","On the job","","43","1","78","Female","0;0;1;0;0;0;0;0;0","3","1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Prefer not to answer","0","0;1;0;0;1;0;0","Tea","1;1;0;0;0;0;0;0;0;1;1;1;0;0;0","1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0","0;0;0;1;1;1;0;0;0","AIGA Design Conference;http://designconference.aiga.org/#!/;","AIGA Design Conference;http://designconference.aiga.org/#!/;","Ha ha ha design","big;AIGA;!"
"New York;NY;US","4","Agency (employee at large organization, 11+)","Design, digital and print","27","Design Director, agency","Mid-level","0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0","","2","1","Word-of-mouth","0;0;1;0;0;0","4","1","1","4","3","1","","100","100","","1;0;0;0;0;0","0;1;1;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0","4","6","4","1","1;0;0;1;1;0","0;0;1;0;0;1;1;0;0;0;0;0","2","4","","45","1","1","Often","1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0","Office","Ingrid Michaelson ","Master’s degree","Attended art school","Online classes (Skillshare, Lynda.com, MOOCs, etc)","","35","0","31","Female","0;0;1;0;0;0;0;0;0","1","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","1","0;0;0;0;0;0;1","1 – 2","1;1;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;0;0;1;0;0;0;0","","","",""
"New York;NY;US","11","In-house (at NGO, non-profit, or government)","Other;Media","25","Writer / Copywriter","Senior","1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0","","2","1","Job listing","0;0;1;0;0;0","2","6","5","8","8","0","","99","0","","1;0;0;0;0;0","0;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0","8","4","4","1","1;0;0;1;0;0","1;1;1;1;1;1;0;1;1;1;1;Day drink (Kidding!)","50","8","","60","2","8","Often","0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0","Other;Office + work from home","Arlo Guthrie","Master’s degree","Self-taught","Online classes (Skillshare, Lynda.com, MOOCs, etc)","","120+","2","31","Female","0;0;1;0;0;0;0;0;0","2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","0","0;1;0;0;0;Do pet projects count?;0","3 – 5","1;0;0;0;0;0;0;0;0;0;0;0;1;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;1;0;1;0;0;0;0","AIGA Eye on Design's Instagram account;instagram.com/aigaeyeondesign;","Ladybeard magazine;ladybeardmagazine.co.uk;","www.instagram.com/p/BLkJS7hBYwy/?taken-by=screensaviors","diversify;experiment;act"
"New York;NY;US","12","In-house (employee at a brand)","Content Strategy","1000+","Strategist, content","Mid-level","1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0","","2","0","Friends","0;0;0;0;0;1","2","3","5","7","6","0","","150","100","175","1;0;0;0;0;0","1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;1;1;1;0;0","7","8","1","1","1;0;1;0;0;0","1;1;1;1;1;1;0;1;1;1;0;0","50","4","","40","1","3","Sometimes","0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0","Studio","nothing","Bachelor’s degree","Other;work","Mentors","","35","1","35","Female","0;0;1;0;1;0;0;0;0","2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","1","0;0;0;0;0;0;1","1 – 2","1;1;0;0;0;0;0;0;0;0;0;0;0;0;1","0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0","0;0;1;0;1;0;0;0;0","A book;https://design.google.com/articles/volume-two/;","","","open;to;interpretation"
